INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0001', 'thực phẩm', 'Thịt gà nướng', 8685794, 83, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0125', 'dụng cụ thể dục', 'Dây kháng lực', 3781912, 69, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0126', 'dụng cụ thể dục', 'Bộ tạ mini', 135569, 69, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0127', 'dụng cụ thể dục', 'Thanh đẩy', 8184533, 96, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0128', 'dụng cụ thể dục', 'Thanh tập xà đơn', 820574, 81, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0129', 'dụng cụ thể dục', 'Tạ miếng', 2252020, 77, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0130', 'dụng cụ thể dục', 'Máy rung giảm mỡ', 3666024, 96, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0131', 'dụng cụ thể dục', 'Máy ép mông', 6001084, 71, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0132', 'dụng cụ thể dục', 'Máy tập cơ vai', 4779718, 67, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0133', 'dụng cụ thể dục', 'Máy tập cơ lưng', 9309338, 80, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0134', 'dụng cụ thể dục', 'Ghế tập cơ lưng', 806229, 84, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0135', 'dụng cụ thể dục', 'Máy tập cơ tay', 1249761, 93, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0136', 'dụng cụ thể dục', 'Máy tập chân', 8991200, 92, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0137', 'dụng cụ thể dục', 'Máy tập eo', 3014995, 98, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0138', 'dụng cụ thể dục', 'Tạ đĩa', 6036290, 82, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0139', 'dụng cụ thể dục', 'Bộ tạ đa năng', 1697606, 95, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0140', 'dụng cụ thể dục', 'Máy tập toàn thân', 2575006, 75, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0141', 'dụng cụ thể dục', 'Máy tập eo', 9248712, 91, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0142', 'dụng cụ thể dục', 'Máy tập cơ ngực', 6547187, 50, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0143', 'dụng cụ thể dục', 'Máy tập cơ đùi', 5495200, 51, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0144', 'dụng cụ thể dục', 'Máy tập cơ bụng', 7679890, 80, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0145', 'dụng cụ thể dục', 'Máy tập bắp tay', 3840363, 88, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0146', 'dụng cụ thể dục', 'Máy tập cơ mông', 2890958, 67, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0147', 'dụng cụ thể dục', 'Bộ ghế đa năng', 7956603, 74, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0148', 'dụng cụ thể dục', 'Máy tập eo', 6084422, 96, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0149', 'dụng cụ thể dục', 'Máy tập cơ tay trước', 6836392, 60, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0150', 'dụng cụ thể dục', 'Máy tập cơ tay sau', 8294695, 98, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0151', 'dụng cụ thể dục', 'Máy tập cơ vai', 3835406, 53, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0152', 'dụng cụ thể dục', 'Máy tập chân', 371088, 62, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0153', 'dụng cụ thể dục', 'Máy tập ngực', 6216698, 71, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0154', 'dụng cụ thể dục', 'Máy tập lưng', 5231612, 85, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0155', 'dụng cụ thể dục', 'Máy tập bụng', 3906975, 70, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0156', 'dụng cụ thể dục', 'Máy tập cơ liên sườn', 6997860, 88, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0157', 'dụng cụ thể dục', 'Ghế tập tạ', 8780250, 80, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0158', 'dụng cụ thể dục', 'Bộ dây nhảy', 2320530, 80, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0159', 'dụng cụ thể dục', 'Dây đàn hồi', 1458036, 52, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0160', 'dụng cụ thể dục', 'Tạ nhựa', 3146286, 74, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0161', 'dụng cụ thể dục', 'Tạ xi măng', 2766642, 76, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0162', 'dụng cụ thể dục', 'Bộ khung tập xà', 6938611, 62, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0163', 'dụng cụ thể dục', 'Bộ khung tập xà đơn', 947966, 56, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0164', 'dụng cụ thể dục', 'Bộ khung tập xà kép', 7134606, 62, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0165', 'dụng cụ thể dục', 'Bộ khung tập xà 3 trong 1', 6475076, 79, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0166', 'dụng cụ thể dục', 'Bộ ghế ngồi tập tạ', 4172209, 95, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0167', 'dụng cụ thể dục', 'Bộ ghế nằm tập tạ', 1548919, 71, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0168', 'dụng cụ thể dục', 'Bộ ghế điều chỉnh được độ nghiêng', 1922264, 80, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0169', 'dụng cụ thể dục', 'Tạ bánh xe', 3148411, 98, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0170', 'dụng cụ thể dục', 'Tạ đĩa cao su', 7771940, 82, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0171', 'dụng cụ thể dục', 'Tạ đĩa thép', 4933178, 64, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0172', 'dụng cụ thể dục', 'Máy đạp đùi', 787930, 60, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0173', 'dụng cụ thể dục', 'Máy kéo dây', 7733580, 64, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0174', 'dụng cụ thể dục', 'Máy tập cơ tay trước', 5872267, 92, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0175', 'dụng cụ thể dục', 'Máy tập cơ tay sau', 4351754, 65, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0176', 'dụng cụ thể dục', 'Máy tập chân', 9581078, 58, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0177', 'dụng cụ thể dục', 'Máy tập ngực', 7807576, 64, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0178', 'dụng cụ thể dục', 'Máy tập bụng', 2579787, 66, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0179', 'dụng cụ thể dục', 'Máy tập eo', 2322558, 82, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0180', 'dụng cụ thể dục', 'Ghế tập cơ bụng', 4451695, 66, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0181', 'dụng cụ thể dục', 'Ghế tập cơ tay', 9849504, 94, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0182', 'dụng cụ thể dục', 'Ghế tập cơ ngực', 5251424, 88, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0183', 'dụng cụ thể dục', 'Ghế tập cơ chân', 4641391, 69, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0184', 'dụng cụ thể dục', 'Ghế tập cơ lưng', 9741220, 85, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0185', 'dụng cụ thể dục', 'Ghế tập cơ vai', 8848576, 62, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0186', 'dụng cụ thể dục', 'Ghế tập cơ eo', 6010270, 87, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0187', 'dụng cụ thể dục', 'Bộ ghế tập đa năng', 7066003, 84, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0188', 'dụng cụ thể dục', 'Máy tập cơ bụng', 4368653, 99, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0189', 'dụng cụ thể dục', 'Máy tập cơ tay', 4454006, 65, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0190', 'dụng cụ thể dục', 'Máy tập cơ ngực', 6103331, 55, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0191', 'dụng cụ thể dục', 'Máy tập cơ chân', 7257522, 56, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0192', 'dụng cụ thể dục', 'Máy tập cơ lưng', 3223033, 79, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0193', 'dụng cụ thể dục', 'Máy tập cơ vai', 5772765, 55, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0194', 'dụng cụ thể dục', 'Máy tập cơ eo', 6964496, 83, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0195', 'dụng cụ thể dục', 'Máy tập bụng', 8684738, 68, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0196', 'dụng cụ thể dục', 'Máy tập tay', 6515358, 63, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0197', 'dụng cụ thể dục', 'Máy tập ngực', 5712860, 92, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0198', 'dụng cụ thể dục', 'Máy tập lưng', 630992, 57, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0199', 'dụng cụ thể dục', 'Máy tập chân', 8720592, 87, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0200', 'dụng cụ thể dục', 'Máy tập vai', 6966863, 85, 'cái', '');
