,sents,sentiments,topics
1396,"thầy wzjwz243 là một giảng viên rất tâm huyết với sinh viên , thầy truyền đạt rất dễ hiểu bài và kỹ càng .",2,0
1397,"giảng dạy khó hiểu , gây áp lực quá nhiều , kéo dài thời gian giảng dạy làm sinh viên không thể ăn trưa .",0,0
1398,thầy nên bỏ ra một vài tiết để làm bài tập vì lượng ví dụ thầy cho khá nhiều .,0,0
1399,"cần cho thêm nhiều tài liệu , nhiều bài tập để sinh viên tư nghiên cứu .",0,1
1400,"hòa đồng , vui vẻ và biết tiếp thu ý kiến sinh viên .",2,0
1401,chưa nhiệt tình lắm .,0,0
1402,"giáo viên giảng dạy tốt , phát huy tốt khả năng nghe nói và đọc của sinh viên .",2,0
1403,"bảo thủ trong cách giảng dạy , không giải đáp thắc mắc hỗ trợ sinh viên khi đang thực hành .",0,0
1404,"phải học quá nhiều phần không cần thiết , nên giảm bớt vài nội dung , ví dụ doubledot vector ngẫu nhiên 2 chiều , phân phối poison .",0,1
1405,"thầy dạy kỹ , dễ hiểu , minh họa lý thuyết kỹ , liên tưởng thực tế .",2,0
1406,không đăng bài tập hằng tuần sớm để sinh viên có thời gian thực hiện .,0,1
1407,cô thường xuyên kiểm tra bài .,2,0
1408,"thầy dạy dễ hiểu , sinh động , có nhiều ví dụ cụ thể !",2,0
1409,thầy luôn cố gắng giúp học sinh hiểu rõ bản chất .,2,0
1410,"lượng kiến thức thì nhiều mà thời gian dạy thì ít , mong phòng đào tạo có thể xem xét và chia ra dạy mỗi môn 1 - 3 ngôn ngữ , ví dụ như html , css làm 1 môn học , js và jquery làm 1 môn , php làm 1 môn .",0,1
1411,có phương phát giảng dạy dễ hiểu .,2,0
1412,"có nhiều câu chuyện thú vị bên cạnh việc giảng dạy , tương tác với lớp nhằm tạo điều kiện cho việc tiếp thu kiến thức dễ dàng .",2,0
1413,"khi tụi em học môn đặc tả hình thức thầy wzjwz169 giảng dạy thì tụi em không hiểu thầy đang nói gì , không hiểu được môn này học để làm gì và nó có ứng dụng vào thực tiễn như thế nào .",0,0
1414,"theo em , tài liệu môn học còn thiếu .",0,1
1415,dạy nhiệt tình với sinh viên .,2,0
1416,"giảng viên giảng bài có hiệu quả , kết hợp giữa lý thuyết và chương trình giúp sinh viên có thể nắm rõ .",2,0
1417,"giảng viên truyền đạt rất tốt , rất dễ hiểu .",2,0
1418,"cô wzjwz62 có phương pháp giảng dạy theo em là phù hợp với đặc thù của môn anh văn , cô luôn tạo ra những hoạt động dạy học đầy hứng thú và luôn bảo đảm kiến thức được truyền tải đến sinh viên một cách tốt nhất , đúng và đầy đủ nhất .",2,0
1419,cô cũng rất thân thiện và gần gũi với sinh viên .,2,0
1420,"đi học thể dục thật ra em không biết thầy nào với thầy nào đâu , vì lâu lâu mới có thầy dạy .",0,1
1421,"cô dạy hay , dễ hiểu , nhiều ví dụ minh hoạ , kết hợp cả lý thuyết và thực hành .",2,0
1422,thầy dạy cho nghỉ nhiều .,0,0
1423,"em nghĩ đây là sự cố do phòng đào tạo buộc thầy thay đổi hình thức thi , ban đầu chúng em được thông báo là thi cuối kỳ trên máy tính , nhưng sau đó lại phải thi trên giấy .",0,1
1424,phòng wzjwz98 dãy nhà wzjwz99 buổi chiều quá nóng và nắng !,0,2
1425,"khi thi thì thời gian quá ngắn để thực hiện trình bày dù đã nghĩ ra cách giải dạy sinh viên "" làm nhanh những việc dễ "" dạy sinh viên thành "" thợ "" .",0,1
1426,"thầy dạy không nhiệt tình , nhất là phần thực hành .",0,0
1427,thầy rất tận tình .,2,0
1428,có nhiệt huyết trong giảng dạy .,2,1
1429,thầy hay dạy lố giờ sang thời gian ăn trưa .,0,0
1430,"kết thúc môn học , sinh viên không được chạm tay sử dụng bất kỳ phần mềm nào được giới thiệu .",0,1
1431,nên tổng hợp ý chính các bài để ôn .,0,0
1432,phương pháp giảng dạy khá tốt .,2,0
1433,thầy trả lời mail không có thiện cảm .,0,0
1434,"bổ xung trang thiết bị thực hành thực tiễn cho môn này , không chỉ đơn thuần là thực hành trên máy tính không .",0,2
1435,thầy rất nguyên tắc và mọi thứ được sắp xếp rõ ràng .,2,0
1436,"giáo viên giảng dạy đúng giờ quy định , nội dung bài học sinh động .",2,0
1437,"thầy đúng giờ giấc , giúp đỡ tốt trong quá trình thực hành .",2,0
1438,đánh giá cao colonsmile .,2,3
1439,"các thắc mắc có thể giải quyết tốt với giáo viên lý thuyết , cho nên không cần phải có thêm 1 giáo viên thực hành .",0,0
1440,"thầy dạy có tâm , nhiệt tình với sinh viên .",2,0
1441,"thầy có khả năng truyền đạt kiến thức tốt , dễ hiểu và cho nhiều bài tập để sinh viên có thể ứng dụng .",2,0
1442,giáo viên truyền đạt kiến thức đầy đủ cho học sinh .,2,0
1443,nhiệt tình giải đáp mọi thắc mắc của sinh viên .,2,0
1444,cô giảng dạy và chỉ dẫn học sinh rất tận tình .,2,0
1445,"cực nhiệt tình , thương sinh viên , giảng dễ hiểu .",2,0
1446,"nội dung thực hành chỉ là copy và paste , chưa tập trung vào nội dung giảng dạy .",0,1
1447,"thầy truyền đạt chưa được tốt lắm , khó hình dung .",0,0
1448,cần tăng cường thêm tài liệu .,0,1
1449,"em nghĩ thi cuối kỳ môn này , nên thi với hình thức tự luận 100% ạ .",0,1
1450,"số lượng thuật toán nhiều , dàn trải , nên được tinh giảm bớt để tập trung và liên hệ ứng dụng thực tiễn nhiều hơn .",0,1
1451,cách giảng dạy gây buồn ngủ .,0,0
1452,bám sát chương trình .,2,1
1453,"thầy dạy rất hay , mang tính cập nhật .",2,0
1454,"thầy dạy hay , dễ hiểu , thầy thường xuyên cho chúng em làm các dạng bài tập .",2,0
1455,làm cho người học bị rối .,0,0
1456,"cô tận tâm , nhiệt tình .",2,3
1457,hay nhiệt tình .,2,0
1458,sinh viên chịu khó sẽ làm được bài .,2,3
1459,thầy dạy không hiệu quả .,0,0
1460,"vui tính , cách giảng thu hút .",2,0
1461,"giáo viên luôn đảm bảo đúng giờ giảng dạy , giảng bài dễ hiểu .",2,0
1462,ảnh hướng tới kết quả chung của em .,0,3
1463,"tiếng anh không phải là môn dạy lý thuyết , ngữ pháp , nên em nghĩ cô nên thay đổi cách dạy .",2,0
1464,"thầy dạy khá hay và chi tiết , dễ tiếp thu .",2,0
1465,sự nhiệt tình chu đáo của cô .,2,0
1466,giảng dạy chi tiết hơn .,0,0
1467,"thầy sử dụng tiếng anh và tiếng việt lẫn lộn , gây khó hiểu .",0,0
1468,"rất tốt , không có ý kiến .",2,3
1469,"thầy nhiệt tình , tâm huyết , đẹp trai .",2,0
1470,"cho bài tập lấy điểm thực hành quá khó , hướng dẫn sơ sài .",0,1
1471,lên lớp trễ 5 - 10 phút .,0,0
1472,thầy nhiệt tình giảng dạy .,2,0
1473,cần cung cấp thêm tài liệu học tập cho sinh viên .,0,1
1474,em cần phổ biến nhiều thông tin hơn .,0,0
1475,"thầy nghỉ quá nhiều , đây là môn về kinh tế mà thầy làm quá khắt khe .",0,0
1476,"giảng viên thường xuyên đi trễ , việc giảng dạnh luôn bị kéo dài vì giảng viên quá nhiệt tình .",0,0
1477,"thầy dạy có hiệu quả , dễ hiểu , thiết thực .",2,0
1478,"thường xuyên đi ra ngoài , điện thoại , skype liên tục reo .",0,0
1479,hơi nhiều bài tập .,0,0
1480,cô dạy rất nhiệt tình và dễ hiểu .,2,0
1481,"giảng viên dạy rất nhiệt tình , giúp đỡ sinh viên rất nhiều .",2,0
1482,đôi từ tiếng anh em chưa hiểu .,0,3
1483,cần nâng cao hơn chất lượng giảng dạy .,0,1
1484,"thầy tận tâm với học sinh , nhiệt tình với học sinh .",2,0
1485,không cần phải đi học thực hành trên phòng máy nhiều .,0,1
1486,một số vấn đề cơ bản giảng viên nên lược bớt để không tốn thời gian .,2,1
1487,thái độ rất nhiệt tình .,2,0
1488,cho thêm nhiều bài tập .,0,0
1489,sự nhiệt tình và tận tâm của thầy .,2,0
1490,tận tâm và rất cập nhật thông tin cho sinh viên .,2,0
1491,giảng viên hướng dẫn nhiệt tình .,2,0
1492,"giáo trình rõ ràng , bài tập đầy đủ nội dung đã học .",2,0
1493,đưa thêm các ví dụ trong thực tiễn để sinh viên dễ tiếp thu bài .,0,0
1494,"cô nhiệt tình , giảng kỹ và dễ hiểu .",2,0
1495,"phòng học quá nóng , thiếu quạt .",0,2
1496,thầy dạy rất tận tâm và nhiệt tình .,2,0
1497,phòng máy không sử dụng được .,0,2
1498,"em học cảm thấy hơi khó hiểu , cô dạy hơi nhanh .",0,0
1499,"giảng viên dạy hay , nhiệt tình và dễ hiểu .",2,0
1500,"đi đúng giờ , dạy đủ kiến thức .",2,0
1501,"thầy theo rất sát sinh viên chúng em trong từng buổi học , thầy luôn làm ví dụ để sinh viên dễ dàng hơn trong việc code .",2,0
1502,"ít tiết nên sinh viên học có vẻ nhàm chán và khuôn mẫu , nên có thời gian để sinh viên tmf hiểu nhiều hơn .",0,1
1503,thầy đến rất đúng giờ .,2,0
1504,giáo viên không hướng dẫn sử dụng các tài liệu có hiệu quả và không hướng dẫn làm bài tập mà chỉ sửa bài tập .,0,0
1505,"giáo viên dạy nhiệt tình , đảm bảo kiến thức cho sinh viên .",2,0
1506,nên để giáo viên có kinh nghiệm dạy môn này .,0,1
1507,"thầy dạy rất hay , ngắn gọn , tổng quát và dễ hiểu .",2,0
1508,"cô rất dễ thương , giảng dạy nhiệt tình và dễ hiểu .",2,0
1509,cô rất gần gũi với học sinh .,2,0
1510,thầy rất giảng rất nhiệt tình .,2,0
1511,thương xuyên ôn tập kiến thức .,2,0
1512,em nghĩ thầy nên up slide trước mỗi buổi học để sinh viên có thể xem bài trước ở nhà thay vì up slide sau mỗi buổi học ạ !,0,0
1513,"giảng viên nhiệt tình , quan tâm đến hầu hết các sinh viên trong lớp .",2,0
1514,"thầy dạy cực kỳ nhiệt tình , chắc là hơn 10 mấy năm đi học cả phổ thông lẫn đại học mới thấy được thầy dạy nhiệt tình vậy .",2,0
1515,"lý do lý thuyết không hiểu , dẫn đến thực hành cũng không hiểu .",0,1
1516,"thầy nhiệt tình và rất quý sinh viên , giải bài tập chi tiết và có kèm ví dụ sinh động , em rất thích thầy và mong thầy tiếp tục dạy lớp em .",2,0
1517,cần sinh động hơn .,0,1
1518,không cứng nhắc trong cách cho điểm .,0,0
1519,truyền đạt chưa tốt lắm .,0,0
1520,"phòng máy quá cũ , internet không có , nhỏ , máy cấu hình quá yếu .",0,2
1521,"dễ hiểu , dạy hay , có nhiều phương pháp sáng tạo , kẹo ngon .",2,0
1522,"đảm bảo giờ lên lớp , số tiết dạy .",2,0
1523,không hướng dẫn làm đồ án .,0,0
1524,thầy có những mẫu truyện hay và ý nghĩa .,2,0
1525,còn quá ít bài tập .,0,0
1526,"cung cấp thêm tài liệu , giáo trình môn học .",0,1
1527,chia nhóm làm đồ án rất hay .,2,1
1528,"hơn nữa , lại dùng silverlight , dẫn đến tình trạng nhiều bạn không muốn học , vì học silverlight xong rồi , giờ đâu ai dùng nữa .",0,0
1529,cô dạy hay và dễ hiểu và rất nhiệt tình .,2,0
1530,"thầy giảng rất hay , chúng em cảm ơn thầy .",2,0
1531,giáo viên cần đảm bảo giờ lên lớp .,0,0
1532,"giảng viên rất tận tâm , chu đáo .",2,0
1533,"giảng dạy nhiệt tình , hài hước .",2,0
1534,nhạt nhẽo và khá nhảm .,0,0
1535,"giảng viên giảng bài chưa hiệu quả , nhiều sinh viên không hiểu bài .",0,0
1536,"giảng viên dạy dễ hiểu , tận tình , đảm bảo giờ lên lớp , cung cấp đầy đủ kiến thức cần có cho sinh viên .",2,0
1537,"đồng thời , những câu hỏi thầy đặt ra rất sát và đòi hỏi kiến thức sâu so với bài học .",2,0
1538,thầy dạy vui hiệu quả tận tình .,2,0
1539,các thầy cô nên để micro gần miệng tí .,0,0
1540,cần thay đổi chương trình giảng dạy cho phù hợp hơn .,0,1
1541,cho ví dụ dễ hiểu .,2,0
1542,có vài bạn nộp đồ án trễ nhưng vẫn được điểm rất cao .,0,0
1543,"thầy tận tâm , nhiệt tình , nghiêm khắc , giảng bài dễ hiểu , đánh giá kết quả học tập công tâm , chính xác .",2,0
1544,nhiệt tình và dễ hiểu .,2,0
1545,qua kỳ sau mong thầy có thể tìm ra được một phương pháp dạy phù hợp giúp bọn em cảm thấy hứng thú với môn học của thầy .,0,0
1546,"buổi nào cũng có thực hành, học lý thuyết xong ra thực hành liền sẽ có hiệu quả cao !",0,1
1547,"giảng viên dạy chậm giúp sinh viên theo kịp tiến độ , có sự tưởng tác nhiều giữa cả giảng viên và sinh viên , ví dụ minh họa bài tập phong phú sau mỗi phần lý thuyết giúp sinh viên nắm rõ bài .",2,0
1548,nhiều khi đang làm thực hành mà không có mạng để tìm hiểu thứ mình cần .,0,2
1549,thầy không dạy em môn này .,1,0
1550,phòng thực hành wzjwz53 cần được nâng cấp .,0,2
1551,"giảng dạy nhiệt tình dễ hiểu , tận tâm với sinh viên .",2,0
1552,lớp học quá đông nên rất nóng .,0,3
1553,slide dễ hiểu .,2,1
1554,cách dạy và nhiều bài tập hay .,2,0
1555,"giáo viên luôn tận tâm , nhiệt tình và có sự tương tác cao với sinh viên .",2,0
1556,học gần công trình thì công thật không thể chịu nổi .,0,2
1557,cần giảng kỹ hơn nữa .,0,0
1558,"cách thầy giảng dậy rất khoa học , đơn giản dễ hiểu !",2,0
1559,kiến thức giảng rất khó hiểu .,0,0
1560,"bài giảng tạo sự hứng thú cho sinh viên , giảng viên nhiệt tình .",2,1
1561,thực hành đầy đủ .,1,1
1562,cô giảng rất dễ hiểu và tận tâm với học sinh .,2,0
1563,"giảng viên vui tính , khả năng truyền đạt tốt .",2,0
1564,"giảng dễ nghe , nhiệt tình .",2,0
1565,"cách giảng dạy của cô rất dễ hiểu , cô cũng rất quan tâm sinh viên .",2,0
1566,học môn này khá vui .,2,1
1567,"chưa có nhiều hoạt đọng nhóm hay thuyết trình , chưa được đi thực tế doanh nghiệp .",0,0
1568,nhiệt tình giúp đỡ các bạn sinh viên .,2,0
1569,giáo trình toàn dùng c không dùng cplusplus nhiều dễ gây rối trong quá trình lập trình .,0,1
1570,chưa bao giờ có ý định nghỉ tiết của thầy ( trừ trường hợp ngủ quên colonbigsmile ) .,2,0
1571,"đứng lớp đúng giờ , giải đáp mọi thắc mắc của sinh viên , nhiệt tình .",2,0
1572,chỉ bảo tận tình .,2,0
1573,"thầy dạy hay và đưa ví dụ rất sát , dễ dàng hiểu bài khi trên lớp .",2,0
1574,"thầy nghỉ nhiều quá , làm tụi em cũng nghỉ theo .",0,0
1575,nêu rõ mục đích cũng như ứng dụng của môn học ngay từ đầu .,0,0
1576,"giáo viên nhiệt tình , đảm bảo giờ lên lớp .",2,0
1577,có nắm được lý thuyết của môn học .,1,3
1578,cảm ơn cô rất nhiều .,2,0
1579,rất nản .,0,3
1580,nên cho thêm nhiều bài tập về nhà hơn .,0,1
1581,thầy wzjwz187 dạy có tâm và luôn hỗ trợ khi có thắc mắc .,2,0
1582,"giảng viên nhiệt tình , có kinh nghiệm .",2,0
1583,thầy cô chưa đưa nhiều vấn đề xã hội vào .,0,0
1584,máy chiếu phòng wzjwz11 chất lượng quá kém .,0,2
1585,"luyện tập nhóm , làm bài tập nhiều .",2,1
1586,đề nghị nhà trường nên đầu tư thêm cho phòng máy và cập nhật các phần mềm phục vụ cho học tập .,0,2
1587,đôi khi không có sự nhiệt huyết .,0,0
1588,"cảnh cáo sinh viên đi trễ nhưng giảng viên đi trễ , thường xuyên vắng dạy không có lý do không có thông báo , gây bức xúc , hao tốn thời gian , phí đi lại của sinh viên .",0,0
1589,"thầy dạy rất tận tâm , nhiệt tình trả lời câu hỏi của sinh viên .",2,0
1590,thầy nên demo các mạch bằng protues .,0,0
1591,"giọng nói , cử chỉ , cách truyền đạt của cô rất chi là dễ thương .",2,0
1592,cách dạy của giảng viên .,1,0
1593,dạy nói quá lan man làm chi sinh viên không tập trung .,0,0
1594,"máy tính của phòng thực hành không phục vụ được nội dung thực hành , giảng viên yêu cầu tự làm trên laptop rồi mang lên phòng thực hành chấm điểm , vậy phòng thực hành dùng để chấm điểm ?",0,2
1595,"thầy nhiệt tâm , vui tính .",2,0
1596,giảng viên thực hành rất nhiệt tình và giải đáp được những vấn đề mấu chốt của môn học .,2,0
1597,"thầy rất nhiệt tình , thường nói thêm để mở rộng kiến thức cho sinh viên và thẳng thắn chỉ ra những thiếu sót của slide bài giảng để sinh viên không mắc sai lầm và hiểu rõ vấn đề .",2,0
1598,"còn khắt khe điểm quá , cho kiểm tra quá nhiều .",0,1
1599,"giảng viên không hướng dẫn sinh viên thực hiện các bài thực hành , không cung cấp tài liệu để sinh viên học tập .",0,0
1600,"giảng dạy cứng nhắc , áp đặp , không thu hút , gò bó sinh viên .",0,0
1601,"giảng dạy hay , đưa ra một số ví dụ thực tế để tăng sinh  động cho tiết dạy .",2,0
1602,cho bài tập nâng cao khả năng tiếng anh .,2,0
1603,em thấy học vậy cũng được rồi .,1,3
1604,đề cương môn học chưa được cập nhật cho sinh viên .,0,1
1605,thầy cần tập trung thật nhiều vào phần trọng tâm trọng điểm mà môn học đã được đề ra .,0,0
1606,"giảng viên cho bài tập nhiều , đầy đủ .",2,0
1607,bài tập giảng viên cho tại lớp đáp ứng nhu cầu của sinh viên .,2,1
1608,thầy dạy có tâm ạ .,2,0
1609,kiến thức và cách dạy hay .,2,0
1610,thầy rất vui .,2,0
1611,gần gủi với sinh viên .,2,0
1612,thầy dạy nhiệt tình và đúng giờ .,2,0
1613,thường xuyên cho bài tập về nhà giúp sinh viên nắm rõ được kiến thức vững chắc hơn .,0,0
1614,khá tận tình .,2,0
1615,chọn thời gian báo cáo phù hợp cho sinh viên .,2,0
1616,"giảng viên nhiệt tình , đúng giờ .",2,0
1617,"giảng viên tận tâm , nhiệt tình , cho sinh viên thuyết trình các chủ đề cho trước , giúp sinh viên tăng cường khả năng làm việc nhóm .",2,0
1618,"dạy kiến thức khá là cao cấp , vượt hơn khả năng hiểu biết của đa số sinh viên .",0,0
1619,thầy dạy hiểu bài .,2,0
1620,"thầy hay hát vu vơ , nghe cũng hay nhưng cũng rất buồn cười .",2,0
1621,"nâng cấp trang thiết bị , đặc biệt là loa nghe để có chật lượng tốt nhất .",0,2
1622,"giảng viên hướng dẫn rõ , chỉ dẫn từng sinh viên .",2,0
1623,cô không đăng slide bài học lên trước mà chỉ đăng sau khi đã học xong vì thế khi không hiểu thì không có slide để đọc lại .,0,0
1624,"cách dạy của thầy chưa hiệu quả , nhiều lúc còn nâng đỡ một số sinh viên .",0,0
1625,"hình thức báo cáo đồ án cuối kỳ , không thể hiện được khả năng của sinh viên , dễ xảy ra trường hợp một người làm , cả đám người hưởng , vì thầy không yêu cầu bảng phân công công việc và chỉ chấm điểm chung cho cả nhóm dựa trên bài báo cáo được nộp , mặc dù một nhóm thầy quy định là 5 người .",0,0
1626,tăng cường giao lưu thực tiễn tiếng anh .,0,1
1627,"thầy thường xuyên đi trễ , có tuần thì trễ 30 - 45 phút , có một tuần trễ tận 1 tiếng ( lúc này sinh viên đã ra về ) .",0,0
1628,báo nghỉ không rõ ràng .,0,0
1629,không truyền được cảm hứng học tập .,0,0
1630,"truyền đạt kiến thức tốt , thân thiện với sinh viên .",2,0
1631,luôn liên hệ thực tiễn .,2,0
1632,có tương tác với sinh viên .,1,0
1633,cần có thêm nhiều tài liệu cho sinh viên nghiên cứu .,0,1
1634,tuy nhiên thời gian lên lớp của thầy khá hạn chế và hầu hết thời gian thầy sử dụng chưa hiệu quả .,0,0
1635,khá là tâm huyết .,2,0
1636,cần cung cấp mục tiêu môn học .,0,1
1637,thầy nên nói chậm lại một tí !,0,0
1638,em muốn nhà trường xếp lịch làm sao để chúng em ít bị trùng lịch nhất ạ .,0,1
1639,giảng kỹ dễ hiểu minh họa thực tế .,2,0
1640,deadline các bài tập thực hành không cố định .,0,1
1641,"quá nhiều bài tập , tốn rất nhiều thời gian mà hiệu quả không có .",0,1
1642,thầy còn giảng rất hài hước .,2,0
1643,"chữ cô rất xấu , cô dạy khó hiểu , không giải thích về bài thực hành mà chỉ đưa 3 clip rồi bảo sinh viên làm theo .",0,0
1644,nói chung cũng tạm được .,1,3
1645,cho ôn tập một đường ra đề một kiểu .,0,0
1646,"rõ ràng , căn bản , thực tế .",2,3
1647,"thầy rất có tâm với sinh viên , thầy không những dạy lý thuyết còn ví dụ những ứng dụng đó ở môi trường làm việc bên ngoài .",2,0
1648,chưa được tham gia chiến dịch thực tế và tham quan công ty .,0,1
1649,"cách dạy hay , tạo động lực cho sinh viên .",2,0
1650,"giảng viên giảng dạy nhiệt tình , có nhiều bài tập hay .",2,0
1651,"cô rất tận tình trong giảng dạy , luôn cải tiến phương pháp dạy .",2,0
1652,tạo điều kiện cho sinh viên .,2,0
1653,"giảng viên nhiệt tình , giảng dạy từ từ , dễ hiểu .",2,0
1654,"những thông tin thầy truyền đạt rất khó hiểu , sinh viên không hình dung được kiến thức đó .",0,0
1655,thầy có chỉ dẫn kỹ càng nhưng do kiến thức môn học quá nhàm chán gây ra đa số sinh viên trong lớp hay cúp học .,0,0
1656,đôi khi còn giảng dạy khô cứng .,0,0
1657,"cô quan tâm sinh viên , giảng bài hay dễ hiểu , yêu cô colonhihi .",2,0
1658,dành quá nhiều thời gian trên lớp để chép bài lên bảng .,0,0
1659,"thầy có kiến thức sâu rộng , chúng em cần phải học hỏi nhiều ở thầy .",2,0
1660,"theo như yêu cầu của môn học , sinh viên phải mang lap để làm bài tập , tuy nhiên ổ cắm trong phòng chỉ có 2 ổ , không đáp ứng được nhu cầu dạy và học của giảng viên lẫn sinh viên .",0,2
1661,cần nâng cao chất lượng cơ sở vật chất hơn .,0,2
1662,giảng viên nên giảng bài cụ thể hơn .,0,0
1663,được giảng viên hướng dẫn cụ thể dễ hiểu .,2,3
1664,giảng viên ít giảng sâu về các ví dụ .,0,0
1665,"giảng viên dạy hay , dễ hiểu , nhiệt tình , khối lượng kiến thức được giảm tải để có thể nhớ phần trọng tâm .",2,0
1666,"thật sự bọn em cũng cạn lời , đành ngậm ngùi mò lên mạng tra search các kiểu hơn một tiếng đồng hồ mới làm được một câu .",0,3
1667,"thầy dạy giỏi , quan tâm tới học sinh , vui tính , mong là ngày nào đó thầy sẽ dạy lại lớp em .",2,0
1668,môn học rất có ích .,2,1
1669,nên đi sâu hơn vào nhưng vấn đề quan trọng và tránh đi quá sâu vào những vấn đề cơ bản và quen thuộc .,0,0
1670,"bài tập được làm nhiều , ân cần , tận tụy .",2,0
1671,"giảng viên thường hay cho lớp nghỉ , một kỳ nghỉ tới 4 - 5 lần , khả năng truyền đạt cần cải thiện thêm .",0,0
1672,cách truyền đạt chưa thực sự hiệu quả .,0,0
1673,"giảng viên nhiệt tình thân thiện , giảng dạy có kế hoạch , đảm bảo kiến thức .",2,0
1674,cố gắng làm nhiều bài tập hơn nữa .,2,1
1675,thầy nên cho những ví dụ code demo để sinh viên hiểu hơn .,0,0
1676,môn học không hữu ích đối với ngành học của em .,0,1
1677,"phương pháp dạy nhàm chán , chỉ đọc slide .",0,0
1678,"cô dễ thương , giải đáp thắc mắc tận tình .",2,0
1679,"thưa , thầy luôn đặt nền tảng kỹ và cho chúng em tìm tòi học hỏi nâng cao .",2,0
1680,giáo viên để sinh viên tự học nhiều hơn .,0,0
1681,cô dạy tốt truyền đạt hay dễ hiểu .,2,0
1682,"nội dung môn học chưa thống nhất , mỗi giáo viên dạy khác nhau , không thống nhất giữa các năm .",0,1
1683,"giảng viên thực hành quá khắt khe trong việc chấm và nộp bài , xin coi code của bọn em khi bọn em sai hay quên xóa file .",0,0
1684,"giảng viên đến lớp trễ , thường xuyên vắng nhưng không báo trước .",0,0
1685,"thầy nhiệt tình giảng dạy , nhiều vấn đề rất hay cần thiết cho sinh viên .",2,0
1686,chưa bao giờ gặp mặt giáo viên từ lúc bắt đầu học đến bây giờ !,1,0
1687,"giảng dạy tận tâm , nhiệt tình tạo điều kiện phát triển kiến thức cho sinh viên .",2,0
1688,"giảng viên nhiệt tình , giảng dạy theo hướng mở để sinh viên có thể tự nghiên cứu thêm ngoài chương trình .",2,0
1689,thầy dạy vui và dễ hiểu .,2,0
1690,em rất thích cô .,2,0
1691,giảng viên áp dụng nhiều phương thức giảng dạy độc đáo .,2,0
1692,cần phải có phương pháp giảng dạy linh hoạt và sáng tạo để gây hứng thú cho người học .,0,0
1693,"giáo viên tuyệt vời , đẹp trai , vui tính , đá bóng hay .",2,0
1694,cần thay đổi giáo trình cho phù hợp với kiến thức sinh viên .,0,1
1695,về thái độ giải đáp thắc mắc cho sinh viên của giảng viên cảm giác rất khó chịu làm cho sinh viên không muốn hỏi thêm điều gì nữa .,0,0
1696,"bài giảng dễ hiểu , có kèm theo ví dụ cụ thể , thân thiện với sinh viên , giải đáp ngay khi sinh viên có câu hỏi .",2,1
1697,hài hước .,2,3
1698,thầy dạy rất trầm .,0,0
1699,thầy dạy ứng dụng thực tế nên rất dễ hiểu .,2,0
1700,sinh viên được được thuyết trình nhưng thật sự chưa hiểu quả .,0,1
1701,thầy ra bài tập nhiều nâng cao năng lực thực hành .,2,0
1702,thầy rất gần gũi và hướng dẫn tốt cho sinh viên .,2,0
1703,nhiệt tình và giảng dễ hiểu .,2,0
1704,gộp chung 2 lớp khác khóa lại với nhau dẫn đến sự không cân bằng về kiến thức giữa 2 lớp gây khó khăn cho lớp dưới .,0,0
1705,"thầy tâm lý , dạy hay .",2,0
1706,"thầy dạy tận tình , tạo không khí mới mẻ cho buổi học .",2,0
1707,"giảng viên khá hài hước , mang lại tiếng cười cho lớp trong quá trình giảng dạy .",2,0
1708,kiến thức của cô chuyên sâu .,2,1
1709,giảng viên hay nhớ nhầm việc dạy lớp này sang lớp khác .,0,0
1710,"thầy dạy rất tốt , em cảm thấy dễ hiểu .",2,0
1711,"sinh viên năm 3 trở lên đều có laptop cả rồi , vậy nên vào phòng máy là không cần thiết .",0,1
1712,"máy chiếu phòng wzjwz104 rất hay tắt , mở được một lúc là nóng quá rồi tắt , không sử dụng được nữa .",0,2
1713,"giảng viên nhiệt tình , tận tâm , tích cực trao đổi với sinh viên về kiến thức trong và ngoài chương trình .",2,0
1714,"nói rõ nội dung môn học , mục tiêu .",0,1
1715,vui vẻ .,2,0
1716,"phòng học buổi trưa rất nóng , có thể trang bị thêm quạt thì tốt hơn .",0,2
1717,"thầy rất nhiệt tình , luôn đưa ra những ví dụ thực tế rất sinh động .",2,0
1718,"giáo viên dạy hay , nhiệt tình và cập nhật các kiến thức bên ngoài vào trong bài giảng .",2,0
1719,nhà trường nên cho thực hành mỗi tuần một lần .,0,1
1720,giảng viên ôn thi chuẩn xác .,2,0
1721,lý do doubledot tới ngày thi ngồi ngay 2 máy hư .,0,2
1722,thầy tạo được sự hứng thú với môn học .,2,0
1723,"thời lượng thực hành quá ít , kiến thức mới mà hướng dẫn ít !",0,1
1724,"dạy dễ hiểu , hài hước !",2,0
1725,nhàm chán .,0,3
1726,"nhiệt tình , vui tính .",2,0
1727,"giáo viên dễ tính , dạy hay .",2,0
1728,"nhiệt tình , gần gũi sinh viên .",2,0
1729,"môn học cần được thiết kế chi tiết hơn từng phần học cụ thể để sinh viên dễ tiếp cận như doubledot học lập trình console và win form lẫn lộn , sinh viên chưa có cái nhìn khái quát và tổng thể về vấn đề cần làm dẫn đến khó tìm lối đi trong sự hỗn loạn kiễn thức , không có phương hướng kết quả học tập không cao , không hứng thú và đam mê .",0,1
1730,thầy rất quan tâm đến khó khăn gặp phải của sinh viên trong lúc thực hành .,2,0
1731,"việc truyền đạt kiến thức chưa sâu , em thấy vẫn mông lung sau mỗi tiết học , chỉ hiểu sơ sơ .",0,0
